,zid,event_name,distance,laps_time,zroute,elevation_gain
28,3096188,Off the MAAP - Stage 2,33,"['1', 'lap']",Temples and Towers,140
29,3097817,The WarmUp Ride,,['45'],Tempus Fugit,51
30,3101689,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
31,3100654,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
32,3097816,3R Watopia Hilly Race - 3 Laps (27km/16.8mi 300m),27,"['3', 'laps']",Watopia Hilly Route,321
33,3097815,EVO CC Sprint Race Series,13,"['1', 'lap']",Three Village Loop,91
34,3097813,3R True2 Steady Ride [2.0w/kg avg],,['60'],Libby Hill After Party,160
35,3097812,Anaerobic Capacity into VO2,,['52'],Queen's Highway,493
36,3096181,Off the MAAP - Stage 1,25,"['1', 'lap']",Wandering Flats,129
37,3097810,Renegade Race,29,"['3', 'laps']",Jungle Circuit,256
38,3097809,EVR Europe,38,"['4', 'laps']",Park Perimeter Loop,670
39,3097808,MEC Bikes NZ - Ride / Race,70,[''],Watopia's Waistband,253
40,3097807,ZLDR Let There Be Hills,12,[''],Watopia Mountain 8,569
41,3097806,Americas HDR Friday Funday p/b Giant,,['60'],Watopia's Waistband,156
42,3101731,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
43,3100661,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
44,3097805,GGCC GlasgowGreen CC TT,20,"['1', 'lap']",Tempus Fugit,31
45,3097804,Full Glaz Challenge,18,"['2', 'laps']",Innsbruckring,155
46,3097803,Newbury Velo Crit,24,"['12', 'laps']",Downtown Dolphin,
47,3097800,Fast Friday Workout,,['30'],May Field,
48,3097799,Team RWB - Gears before Beers (Race 2/2),15,"['4', 'laps']",Queen's Highway,202
49,3097798,ZHR The Great Escape,40,"['1', 'lap']",Volcano Flat KOM,
50,3107419,Temples and Towers,33,"['1', 'lap']",Temples and Towers,314
51,3097797,GGCC GlasgowGreen CC TT,8,"['1', 'lap']",Bologna Time Trial,236
52,3097796,Fearless Women's Time Trial,8,"['1', 'lap']",Bologna Time Trial,236
53,3097795,Amalgam,,['51'],Queen's Highway,486
54,3054470,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
55,3054535,Womens Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
56,3097794,Group Run 10k,10,[''],Chili Pepper Rev,
57,3097793,3R Lutscher CCW Climbing Race - 1 Lap (22.1km/13.9mi 827m),23,"['1', 'lap']",Lutscher CCW,
58,3096353,ACerS Trial Race 5,19,"['4', 'laps']",Volcano Circuit,
59,3096200,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
60,3097791,Sledgehammer Inbetweeners Races,21,"['2', 'laps']",Jungle Circuit,174
61,3097790,Team RWB - Gears Before Beers (Race 1/2),9,"['1', 'lap']",Electric Loop,41
62,3097789,The Friday Criterium Summer Races (With Category Enforcement),31,"['1', 'lap']",Greatest London Flat,219
63,3097788,The Friday Criterium Summer D Races (With Category Enforcement),19,"['2', 'laps']",London Classique Reverse,107
64,3097787,Herd Summer Racing League,47,"['2', 'laps']",Casse-Pattes,309
65,3101309,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
66,3100942,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
67,3097786,PACK 1.5 Weekly Wind Down,,['60'],Watopia's Waistband,156
68,3097782,Team Italy Summer League,26,"['2', 'laps']",Flatland Loop,196
69,3097785,GGCC GlasgowGreen CC TT,20,"['1', 'lap']",Tempus Fugit,31
70,3097781,ZZRC Goat Airlines Flight Sub 2,,['60'],Greater London Flat,211
71,3097780,AEO Women's Wind Down Ride p/b Stolen Goat,,['45'],Tempus Fugit,51
72,3097779,ZLDR Recovery Hour,,['60'],11.1 Ocean Blvd,
73,3097777,ZZRC The Weekend Starts Here,,['60'],The Magnificent 8,269
74,3097776,Het is Koers,,['60'],Royal Pump Room 8,
75,3097775,KIRCHMAIR Race Series,13,"['1', 'lap']",Sprinter's Playground,
76,3097774,ZHCC TGI Flat Friday 1.5w/kg,,['60'],Watopia's Waistband,156
77,3075682,EL TOUR DE HISP - STAGE 5,36,"['1', 'lap']",Keith Hill After Party,433
78,3097773,Cocorico Racing League (Category enforcement) - Bikes France,41,"['1', 'lap']",Triple Loops,566
79,3097771,3R Racing,29,"['1', 'lap']",The Magnificent 8,154
80,3097770,"Clasica ""La Historica"" ZESP",,['60'],Handful Of Gravel,
81,3096193,Off the MAAP - Stage 3,47,"['1', 'lap']",Achterbahn,333
82,3097767,Ladies Races Series by Frenchy Fuzion,23,"['1', 'lap']",Castle to Castle,140
83,3097766,Zwift Fast Fridays: Bologna Time Trial,8,"['1', 'lap']",Bologna Time Trial,236
84,3097764,Mountain Massif TT - Powered by Muc-Off,12,[''],Road to Sky,
85,3097763,SNOWcial Sprint & Spin,,['60'],Douce France,255
86,3097762,REVO Slow Roll SUB1.5,,['30'],Richmond Flat Roads,83
87,3097761,KIRCHMAIR Race Series,8,"['1', 'lap']",Two Bridges Loop,
88,3101833,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
89,3100792,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
90,3097759,Team Italy Social SUB2 Ride,,['45'],Greater London Flat,162
91,3097760,Team Italy 5K Summer Run Race,5,[''],Shuman Trail Loop,
92,3097758,Beastmode p/b ROSE - Join the team,33,"['1', 'lap']",Libby Hill After Party,160
93,3097757,The Friday TBR Pubcrawl,,['45'],London Classique,167
94,3097756,3R PedalPlay Interval Ride [~3.5-4+w/kg avg],43,[''],Rooftop Rendezvous,650
95,3097755,EVO CC Race Series,36,"['9', 'laps']",Neokyo Crit Course,180
96,3097754,EVO CC Womens Sprint Race Series,32,"['8', 'laps']",Neokyo Crit Course,
97,3097752,ZHR The Great Escape,40,"['1', 'lap']",Volcano Flat KOM,
98,3097751,CIS - Friday Sub 2.0 Social T.G.I.F Ride,,['60'],Beach Island Loop,83
99,3097750,ZRG-CC Social Ride,,['60'],Champs-Élysées,
100,3054469,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
101,3097749,VO2 Max 40/20,,['48'],2019 UCI Worlds Harrogate Circuit,606
102,3097747,3R Volcano Flat Race - 3 Laps (36.6km/22.7mi 138m),37,"['3', 'laps']",Volcano Flat,148
103,3096187,Off the MAAP - Stage 2,33,"['1', 'lap']",Temples and Towers,140
104,3097746,Friday Social with BYT,,['60'],R.G.V.,201
105,3097745,Cycle Nation Joburg Sundowner,37,"['2', 'laps']",Tempus Fugit,57
106,3097744,ZRG-CC Friday Race,41,"['3', 'laps']",Harrogate Circuit Reverse,
107,3097743,INC RELENTLESS Sprint Series Race 2,8,"['1', 'lap']",Two Bridges Loop,40
108,3097741,ZTPL Cycling Club 100km Ride,100,[''],Three Little Sisters,561
109,3097740,EVO CC Flux Ride [1.8 - 2.0w/kg avg],,['60'],R.G.V.,201
110,3101404,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
111,3101084,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
112,3097739,Vikings and Valhalla Friday Night Lights,,['55'],Richmond Flat Roads,157
113,3097738,Group Run 5k,5,[''],Watopia Flat Route,
114,3097737,INC RELENTLESS Sprint Series Race 1,9,"['1', 'lap']",Innsbruckring,78
115,3097736,Fast Friday Workout,,['30'],May Field,
116,3097735,FZR Pre-Sauna ride,,['60'],R.G.V.,201
117,3097734,TEAM VEGAN Cake Break,37,[''],Out And Back Again,311
118,3097733,SZ AW Party by SZR,18,"['2', 'laps']",Innsbruckring,155
119,3097732,3R Sand and Sequoias Race,43,"['2', 'laps']",Sand And Sequoias,338
120,3097731,VO2 Max -3 Minute,,['55'],Queen's Highway,526
121,3096180,Off the MAAP - Stage 1,25,"['1', 'lap']",Wandering Flats,129
122,3097728,DBR Friday Race - Category Enforcement,27,"['3', 'laps']",Watopia Hilly Route,321
123,3097730,BST Mountaingoat Race,46,"['1', 'lap']",Surrey Hills,
124,3101283,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
125,3100925,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
126,3097729,EVO CC Race Series,19,"['2', 'laps']",Sleepless City,81
127,3097727,Team DRAFT Friday Race,25,"['1', 'lap']",Legends and Lava,175
128,3097726,The Grind Finale,,['49'],Queen's Highway,476
129,3054468,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
130,3097725,Group Run 10k,10,[''],Richmond Hilly Roads,
131,3097724,3R Innsbruckring Flat Race - 2 Laps (17.6km/10.9m 154m),18,"['2', 'laps']",Innsbruckring,155
132,3096199,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
133,3097723,ZLDR Footloose Friday,10,[''],Shuman Trail Loop,
134,3097722,"Team KST's ""Le Rouleur"" Race",21,"['1', 'lap']",London 8,258
135,3097721,PACK Slackers SUB2 Ride,,['60'],Sand And Sequoias,338
136,3101657,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
137,3100604,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
138,3097720,KISS Racing - Category Enforcement,43,"['6', 'laps']",Champs-Élysées,488
139,3091191,Bicycle Way of Life Fri-yay Ride,,['60'],Triple Flat Loops,91
140,3097718,Uphill Battle,,['56'],Queen's Highway,534
141,3097716,EZR Easy Peasy Friday Ride,,['60'],Flat Route Reverse,269
142,3097715,Dutch Diesel Cycling Weekender,,['45'],The 6 Train Rev,
143,3097714,Ascenders Team Rise and Shine Ride,,['60'],Sand And Sequoias,338
144,3096192,Off the MAAP - Stage 3,47,"['1', 'lap']",Achterbahn,333
145,3097713,Zwift Runner's Walk/Run Intervals,5,[''],Shuman Trail Loop,
146,3097712,Slowtwitch.com Festina Lente,,['60'],The Bell Lap,336
147,3097711,Zwift Fast Fridays: Tempus Fugit Time Trial,18,[''],Tempus Fugit,27
148,3101688,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
149,3100655,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
150,3097710,Fast Friday Workout,,['30'],May Field,
151,3097708,ZZRC Friday Latte 2-2.5 Social Ride,,['75'],Wandering Flats,296
152,3097707,Orange Unicorn,,['51'],2019 UCI Worlds Harrogate Circuit,672
153,3097706,TTR Weekly Race,30,"['2', 'laps']",Neon Flats,140
154,3097705,Peak-PTY Pre weekend race,36,"['1', 'lap']",Triple Flat Loops,78
155,3054467,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
156,3097704,3R Greater London 8 Hilly Race - 1 Lap (23.8km/14.8mi 238m),24,"['1', 'lap']",Greater London 8,276
157,3097698,BMTR Short Adventure,,['60'],R.G.V.,201
158,3096186,Off the MAAP - Stage 2,33,"['1', 'lap']",Temples and Towers,140
159,3097700,Best Buddies Challenge - Friday FTP Intervals,,['50'],The Magnificent 8,195
160,3097699,CHINA ZCRC ROCKET Racing,39,"['3', 'laps']",Flatland Loop,293
161,3101271,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
162,3100890,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
163,3097697,Cleveland Wheelers CC Time Trial,13,"['4', 'laps']",Laguardia Loop,167
164,3097696,DIRT Scenic Ride,,['30'],Neon Flats,105
165,3097695,Friday Fearless Fartleks,,['60'],Electric Loop,196
166,3097694,SAZ Running Club,,"['1', 'lap']",11.1 Ocean Blvd,
167,3097693,3R LaGuardia Loop Reverse Flat Race - 8 Laps (24.5km/15.2mi 216m),25,"['8', 'laps']",Laguardia Loop Rev,216
168,3097692,Amalgam,,['51'],Queen's Highway,486
169,3097691,Team Electric Spirit Co. Preprandial Crits,9,"['1', 'lap']",Hilly Route Reverse,107
170,3097690,Friday Ebb presented by Team ODZ,27,"['3', 'laps']",Innsbruckring,232
171,3054534,Womens Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
172,3054466,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
173,3097689,TGIF DIRTy Goats,,['90'],Suki's Playground,544
174,3096179,Off the MAAP - Stage 1,25,"['1', 'lap']",Wandering Flats,129
175,3097688,MHG Run Club,5,[''],Muir And The Mountain,108
176,3097687,Mountain Massif TT - Powered by Muc-Off,12,[''],Road to Sky,
177,3097686,The HERD Kibbitz and Chinwag,,['60'],R.G.V.,201
178,3101470,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
179,3101130,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
180,3097685,DIRT FriYay Ride,,['50'],Sleepless City,155
181,3097684,Kinetic Cruisers,,['50'],Richmond Flat Roads,140
182,3097683,Breakfast Club Run,,['60'],Jon's Route,
183,3097682,European Lunch Ride,43,"['2', 'laps']",Sand And Sequoias,338
184,3097681,Bonbon,,['40'],2019 UCI Worlds Harrogate Circuit,509
185,3097680,Vikings Valhalla Frolicking Friday Fun-for-All,,['60'],R.G.V.,201
186,3054465,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
187,3097679,3R Innsbruckring Flat Race - 4 Laps (35.2km/21.9mi 308m),36,"['4', 'laps']",Innsbruckring,308
188,3096198,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
189,3097678,EVR Asia,38,"['4', 'laps']",Park Perimeter Loop,670
190,3097677,RT Performance Friday Intervals,10,[''],May Field,
191,3101832,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
192,3100791,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
193,3097675,KISS at Base Training Ride,100,[''],Sleepless City,426
194,3097676,GRIT - Mountain Route,25,"['1', 'lap']",Lutscher,
195,3097674,EVO CC Sprint Race Series,18,"['2', 'laps']",Hilly Route Reverse,214
196,3097673,Group Run 5k,5,[''],Richmond Flat Roads,
197,3097672,Fast Friday Workout,,['30'],May Field,
198,3097671,ZHR The Great Escape,40,"['1', 'lap']",Volcano Flat KOM,
199,3097670,EZR EZ Does It,,['60'],Castle to Castle,272
