,zid,event_name,distance,laps_time,zroute,elevation_gain
0,3045055,SISU Racing SatCRITday - Season 1,24,"['8', 'laps']",Laguardia Loop,311
1,3096201,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
2,3097833,Bikealicious Jitenshaninoru Bicycle Ride,,['90'],Temples and Towers,628
3,3097837,Magenta Cycling Argentina,,['60'],Tempus Fugit,64
4,3097836,Restart Racing Friday Classic,49,[''],2022 Bambino Fondo,130
5,3097834,Mountain Massif TT - Powered by Muc-Off,12,[''],Road to Sky,
6,3101755,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
7,3100702,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
8,3097832,Herd Summer Racing League,47,"['2', 'laps']",Casse-Pattes,309
9,3097831,The Friday Five Run,8,[''],11.1 Ocean Blvd,
10,3097830,Betty Designs Down Under,,['60'],Watopia's Waistband,156
11,3054536,Womens Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
12,3054472,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
13,3097829,Escalation,,['55'],Queen's Highway,526
14,3097828,3R LaGuardia Loop Flat Race - 8 Laps (22.9km/14.2mi 216m),24,"['8', 'laps']",Laguardia Loop,311
15,3096195,Off the MAAP - Stage 3,47,"['1', 'lap']",Achterbahn,333
16,3097827,Zwift Fast Fridays: Tempus Fugit Time Trial,18,[''],Tempus Fugit,27
17,3097826,ZLDR Run Like No One is Watching,,['60'],Quatch Quest,740
18,3097825,TBR 101 - Endurance,180,[''],Flatland Loop,
19,3101331,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
20,3100989,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
21,3097823,The Saturday Shop Ride By Trek Australia,70,"['1', 'lap']",Big Foot Hills,698
22,3097822,Fast Friday Workout,,['30'],May Field,
23,3097821,3R Innsbruckring Flat Race - 4 Laps (35.2km/21.9mi 308m),36,"['4', 'laps']",Innsbruckring,308
24,3097820,AHDR Full Aussie Brekkie Roll,,['120'],Big Foot Hills,852
25,3054471,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
26,3097819,Arise,,['52'],Queen's Highway,493
27,3097818,JETT Hill Climb & Interval Ride,37,"['1', 'lap']",Innsbruckring KOM,
