,zid,event_name,distance,laps_time,zroute,elevation_gain
0,3102442,Workout #2 | FTP Short Blocks | ZA Road 2022,,['60'],Richmond Flat Roads,175
1,3129718,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
2,3129038,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
3,3133273,Herd of Mountain Goats Climbing Race 7,39,[''],Watopia Hilly Route,485
4,3133272,JETT Monday Morning Ride (2.5~3.0w/kg),42,"['1', 'lap']",Out And Back Again,330
5,3133271,The Better Way Rides p/b Velocio,28,"['1', 'lap']",Watopia's Waistband,101
6,3102582,Workout #3 | The Volcano | ZA Road 2022,,['60'],Beach Island Loop,83
7,3133269,USMES Sunday Climbers 🍍,28,"['1', 'lap']",Tour of Fire and Ice,
8,3133270,WMZ Bonjour Recovery Ride p/b Champion System,,['60'],Flat Route Reverse,269
9,3133268,Pride Ride,,['60'],Tick Tock,122
10,3133267,Uphill Battle,,['56'],Park Perimeter Loop,686
11,3133266,3R Greater London Flat Race - 3 Laps (40.2km/25mi 135m),41,"['3', 'laps']",Greater London Flat,201
12,3099816,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
13,3102393,Workout #2 | FTP Short Blocks | ZA Road 2022,,['60'],Richmond Flat Roads,175
14,3129569,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
15,3128884,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
16,3133264,The HERD Sunday Sip and Spin,,['60'],Neon Flats,209
17,3133265,TEAM Zwift Tri Oz - Monday Recovery Ride,41,"['3', 'laps']",Greater London Flat,201
18,3133263,AHDR Bacon Rolls,,['60'],Triple Flat Loops,91
19,3133261,Sunday Funday p/b TBR,,['60'],Neon Flats,209
20,3133260,3R LaGuardia Super Sprint Race - 1 Lap (3.7km/2.6mi 27m),4,"['1', 'lap']",Laguardia Loop,60
21,3102516,Workout #3 | The Volcano | ZA Road 2022,,['60'],Beach Island Loop,83
22,3133259,EVO CC Sprint Race Series,14,"['2', 'laps']",Twilight Harbor,65
23,3133258,Triban (Weekenderender),,['60'],Road to Ruins,403
24,3133257,The Grind Finale,,['49'],Gotham Grind,484
25,3133256,TFC Group Group Ride. Sub 2.5 / Sub 2,38,"['8', 'laps']",Volcano Circuit CCW,
26,3136377,Challenged Athletes Foundation Ride,,['50'],Watopia's Waistband,125
27,3133255,Breakfast with The Unicorn p/b AHDR,100,[''],R.G.V.,
28,3102357,Workout #2 | FTP Short Blocks | ZA Road 2022,,['60'],Richmond Flat Roads,175
29,3129794,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
30,3129125,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
31,3133253,Herd Climbers Gambit (with Category Enforcement),15,[''],Greatest London Loop Reverse,
32,3133254,Renegade Race,28,"['1', 'lap']",Climber's Gambit,333
33,3133252,Bikealicious Climbalicious,70,"['1', 'lap']",Big Foot Hills,698
34,3133251,XRS Races Crit,33,"['5', 'laps']",Railways and Rooftops,348
35,3102658,Workout #3 | The Volcano | ZA Road 2022,,['60'],Beach Island Loop,83
36,3133250,TBR Power Up,,['60'],Volcano Flat,174
37,3133249,Wakey-Wakey Kiwi Crew,,['45'],Douce France,211
38,3133247,Rhino crash chase race,26,[''],Two Bridges Loop,145
39,3133246,3R Watopia Hilly Reverse Race - 4 Laps (36.7km/22.8mi 400m),37,"['4', 'laps']",Watopia Hilly Route,428
40,3101997,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
41,3100292,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
42,3099865,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
43,3133245,Fearless Beginners Race - Women's Only - Under 7mi/11.5km,12,"['1', 'lap']",London Classique,69
44,3133244,ZSUN Sunday Social Ride,,['90'],Greater London Flat,307
45,3102306,Workout #2 | FTP Short Blocks | ZA Road 2022,,['60'],Richmond Flat Roads,175
46,3129485,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
47,3128815,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
48,3133243,KISS Racing - Crit City,43,"['22', 'laps']",Downtown Dolphin,342
49,3133242,Know No Bounds Ride,,['30'],R.G.V.,99
50,3133241,GardaBikeHotel Social Ride,,['60'],Sand And Sequoias,338
51,3135835,The Stampede (iTT) by Herd Racing League,25,[''],The Magnificent 8,141
52,3133240,Chill 'n' Spin Sunday Ride,,['60'],Libby Hill After Party,160
53,3102608,Workout #3 | The Volcano | ZA Road 2022,,['60'],Beach Island Loop,83
54,3133237,ZZRC Ride With Friends 1.3-1.5,,['60'],The 6 Train,609
55,3133239,Weekend Long Run,16,[''],Innsbruckring,
56,3133238,ZHCC Marmite Sunday,,['60'],Richmond UCI Worlds,347
57,3133236,Bonbon,,['40'],Park Perimeter Loop,484
58,3133235,3R Racing,45,[''],Petit Boucle,281
59,3133234,Herd of Mountain Goats Climbing Race 7,39,[''],Watopia Hilly Route,485
60,3102375,Workout #2 | FTP Short Blocks | ZA Road 2022,,['60'],Richmond Flat Roads,175
61,3129560,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
62,3128909,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
63,3133233,DIRT feat. Beastmode p/b ROSE - #BeastmodeON,10,"['1', 'lap']",Park Perimeter Loop,168
64,3133231,Correcaminos ZESPRUN,6,[''],Jungle Circuit,10
65,3133230,Rave - con ,10,['60'],Park Perimeter Loop,738
66,3133229,EVO CC ZRL Course Recce,28,"['1', 'lap']",Climber's Gambit,333
67,3133227,After Party Race by PETA-Z,42,"['1', 'lap']",Leith Hill After Party,
68,3133228,Steed Cycles Stay at Home Workout,,['70'],Watopia Flat Route,299
69,3100374,Workout #3 | The Volcano | ZA Road 2022,,['60'],Beach Island Loop,83
70,3133225,Spaded Sweetie,,['44'],Astoria Line 8,513
71,3133224,ZLDR Sunday 15K Run AYOP,15,[''],Quatch Quest,184
72,3133223,ZTPL Cycling Club Coffee Ride,38,"['1', 'lap']",Three Little Sisters,
73,3099908,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
74,3133222,Group Run 10k,10,[''],Hudson Roll,
75,3133221,3R Tick Tock Flat Race - 1 Lap (19km/11.8mi 50m),19,"['1', 'lap']",Tick Tock,59
76,3100375,Workout #2 | FTP Short Blocks | ZA Road 2022,,['60'],Richmond Flat Roads,175
77,3129303,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
78,3128655,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
79,3133216,The Herd Rode to Recovery,,['60'],Neon Flats,209
80,3133215,Team Velos Bumper Chase Race,25,"['1', 'lap']",Wandering Flats,145
81,3133220,Cycle Nation Sunday Bumble,,['90'],Triple Flat Loops,152
82,3133219,3R Super Six Sunday Race,41,"['6', 'laps']",Seaside Sprint,303
83,3133217,BC Bike Race Sunday Endurance Workout,,['90'],Chain Chomper,898
84,3133214,REVO Social SUB2,,['60'],Tick Tock,122
85,3133210,We are Invictus Social Ride Hosted by Invictus Games Foundation,,['60'],Eastern Eight,184
86,3133208,Weekend Long Run,16,[''],Achterbahn,
87,3133207,Black Cyclists Network Group Ride,,['90'],Sand And Sequoias,504
88,3133206,Crit Crusher Weekend League by SZR,25,"['2', 'laps']",Sprinter's Playground,131
89,3133205,3R Watopia 65km Race - 6 laps (40mi 324m),61,"['6', 'laps']",Watopia Flat Route,359
90,3133204,Seattle Baby Steps 1.0-1.3 w/kg,,['60'],Tempus Fugit,64
91,3133202,Fearless Beginners Race - Women's Only - Under 7mi/11.5km,10,"['1', 'lap']",Watopia Flat Route,60
92,3133201,Orange Unicorn,,['51'],Park Perimeter Loop,632
93,3102169,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
94,3118975,SISU WORLDS - TIME TRIAL,29,"['4', 'laps']",Two Bridges Loop,159
95,3129342,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
96,3128702,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
97,3133198,ZHR Masters Weekender,75,"['3', 'laps']",Wandering Flats,
98,3133197,Giant Sunday Session Ride Series,,['60'],Sleepless City,187
99,3116545,PACK Run: Ven Top,21,[''],Ven-Top,1544
100,3133196,EVO CC Race Series,38,"['1', 'lap']",Three Little Sisters,214
101,3133195,3R Alpe Du Zwift KOM Race (20km 1444m),17,"['1', 'lap']",Road to Sky,
102,3133194,Team DRAFT Sunday Race,25,"['1', 'lap']",Wandering Flats,145
103,3133193,Pride Ride,,['60'],Watopia's Waistband,156
104,3133192,PACK 1.5 Sunday Supportive,,['60'],Watopia's Waistband,156
105,3133191,Macro to Micro,,['59'],Gotham Grind,589
106,3133184,3R Endurance Steady Ride,100,[''],Wandering Flats,581
107,3099846,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
108,3136375,Challenged Athletes Foundation Ride,,['50'],Watopia's Waistband,125
109,3102250,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
110,3117820,Team Novo Nordisk Group Ride,,['60'],Flat Route Reverse,269
111,3129538,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
112,3128848,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
113,3133190,ZHR Audax,200,[''],Greater London Loop,2353
114,3133188,Runaway Rock-iTT Race Series,43,"['2', 'laps']",Sand And Sequoias,
115,3133187,JUST DO iTT,20,"['1', 'lap']",Tempus Fugit,31
116,3133186,The Mountain Massif,46,"['1', 'lap']",Quatch Quest,
117,3133185,RO4H Rookie Group Ride,,['60'],Libby Hill After Party,160
118,3133183,Herd of Mountain Goats Climbing Race 7,39,[''],Watopia Hilly Route,485
119,3133182,3R Women's Sunday Rollout,,['60'],Park Perimeter Loop,738
120,3133181,Group Run 5k,5,[''],Run Path Reverse,
121,3133179,Restart Racing Sunday Classic,54,"['1', 'lap']",Eastern Eight,198
122,3133178,Lactate Shuttle,,['57'],Astoria Line 8,675
123,3133176,ZZRC Sunday Cruise Control,,['60'],Tick Tock,122
124,3133175,BMTR Short Adventure,,['60'],Watopia's Waistband,156
125,3133177,KISS Racing - The Classic 100 - Category Enforcement,104,"['3', 'laps']",Triple Flat Loops,234
126,3133167,WCC Sunday Roast Wobble Social Ride,,['60'],The 6 Train Rev,
127,3133173,3R Watopia Flat Route Race - 4 Laps (40.5km/25.1mi 216m),41,"['4', 'laps']",Watopia Flat Route,
128,3102221,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
