,zid,event_name,distance,laps_time,zroute,elevation_gain
129,3129429,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
130,3128756,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
131,3133172,ZLDR Casual Sunday,15,[''],Muir And The Mountain,340
132,3133169,ZSUN Sunday Social Run,0,"['1', 'lap']",May Field,
133,3133168,Giant Camden Tron Hunters – get closer to the Tron,45,[''],Bologna Time Trial,
134,3133164,La Bicicletta Toronto & Toronto Hustle Donut Endurance Ride,25,"['1', 'lap']",Downtown Titans,143
135,3133163,Weekend Long Run,16,[''],Innsbruckring,
136,3133161,HEXAGONE Endurance Series,64,"['1', 'lap']",Tire-Bouchon,583
137,3133160,Catrina's Ladies Social Ride,,['60'],Beach Island Loop,83
138,3137830,Herd Autumn Racing Experience,8,"['1', 'lap']",Bologna Time Trial,236
139,3133159,Ham Sandwich,,['52'],Park Perimeter Rev,
140,3101973,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
141,3099893,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
142,3133158,The BMTR Mini Fundo,100,[''],Suki's Playground,835
143,3133157,3R Whole Lotta Lava Hilly Race - 1 Lap (16.9km/10.5mi 183m),17,"['1', 'lap']",Whole Lotta Lava,189
144,3102197,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
145,3109548,World Social Riders,,['60'],Farmland Loop,299
146,3118974,SISU WORLDS - TIME TRIAL,29,"['4', 'laps']",Two Bridges Loop,159
147,3129793,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
148,3129128,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
149,3133155,Bikealicious Easy Like Sunday Morning,,['90'],Knickerbocker Reverse,1045
150,3133154,The HERD Sunday Endurance,,['120'],Four Horsemen,1044
151,3133153,ODZentury Endurance Builder Ride,,['90'],Downtown Titans,
152,3133152,Pride Ride,,['60'],Wandering Flats,205
153,3133151,Escalation,,['55'],Park Perimeter Loop,679
154,3133150,Ottawa TopSpeed Race,50,"['2', 'laps']",Roule Ma Poule,416
155,3100289,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
156,3099864,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
157,3133149,3R Innsbruckring Sprint Race - 1 Lap (8.8km/5.5mi 77m),9,"['1', 'lap']",Innsbruckring,78
158,3102144,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
159,3129477,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
160,3128810,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
161,3133144,Herd Climbers Gambit (with Category Enforcement),15,[''],Greatest London Loop Reverse,
162,3133145,ZZRC Wind Down Sub 2,,['60'],Sand And Sequoias,338
163,3133148,Club Battles-Cat and Mouse Chase Race,16,"['2', 'laps']",Champs-Élysées,
164,3133147,Saris NoPinz's Sunday Send,104,"['3', 'laps']",Triple Flat Loops,234
165,3133146,ZLDR Warmup 10k,10,[''],Jungle Circuit,85
166,3133143,WCC Sunday Brunch Ride,,['60'],Casse-Pattes,309
167,3133142,DIRT XLR Xtra Long Ride,,['120'],Watopia's Waistband,305
168,3133140,6Points Mallorca Sunday Training Ride,41,"['3', 'laps']",Greater London Flat,201
169,3133141,DIRT Xtra Long Ride,80,[''],Triple Flat Loops,173
170,3133139,Arise,,['52'],Gotham Grind Reverse,512
171,3099824,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
172,3133138,3R Sand & Sequoias - 1 Lap (20km/12.5mi 173m),23,"['1', 'lap']",Sand And Sequoias,172
173,3102238,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
174,3129758,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
175,3129100,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
176,3133134,CRYO-GEN Sunday Social Ride,,['60'],Watopia's Waistband,
177,3133137,ZRG-CC Sunday Race,39,"['20', 'laps']",Downtown Dolphin,
178,3133136,DIRT feat. Beastmode p/b ROSE - #BeastmodeON,10,"['1', 'lap']",Park Perimeter Loop,168
179,3133135,Team CLS Racing - The Long Race - Category Enforcement,70,"['2', 'laps']",Chasing the Sun,626
180,3133133,EVO CC Race Series,25,"['1', 'lap']",Downtown Titans,143
181,3133131,Anaerobic Capacity into VO2,,['52'],Gotham Grind Reverse,512
182,3133130,3R Watopia Road To Sky - 1 Lap,17,"['1', 'lap']",Road to Sky,1047
183,3133128,Newbury Velo Road Race,70,"['1', 'lap']",Big Foot Hills,698
184,3102201,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
185,3129302,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
186,3128654,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
187,3133123,DBR Sunday Race,29,"['3', 'laps']",Park Perimeter Loop,503
188,3133127,PSRS - Paceheads Race,25,"['1', 'lap']",R.G.V.,129
189,3133126,Zwift team Greece Climbing TT race,21,"['1', 'lap']",Ven-Top,1535
190,3133125,Team WEz Race,102,"['4', 'laps']",Greatest London Flat,702
191,3133124,KRT/KISS 100km Endurance Ride,100,[''],R.G.V.,
192,3133122,Herd of Mountain Goats Climbing Race 7,39,[''],Watopia Hilly Route,485
193,3133121,WCC Breakfast ride,,['60'],Ocean Lava Cliffside Loop,170
194,3133120,Ride with Rouleur,18,"['2', 'laps']",Gotham Grind Reverse,251
195,3133117,VirtuSlo eFondo,55,"['2', 'laps']",Greatest London Flat,380
196,3133119,ALPENTROEDLER Stammtisch Ride,,['120'],Watopia's Waistband,305
197,3133118,Team RWB - Super Sunday,50,"['2', 'laps']",Downtown Titans,286
198,3133116,ZZRC Sunday Social Club Ride,47,"['2', 'laps']",UCI Worlds Short Lap,987
199,3133115,Amalgam,,['51'],Astoria Line 8,576
200,3122780,Backpedal Hill Climb Series,12,[''],La Reine,224
201,3133113,LA DOMINGUERA DE HISP,29,"['3', 'laps']",Park Perimeter Loop,
202,3099883,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
203,3133112,3R Volcano Circuit - 6 Laps,27,"['6', 'laps']",Volcano Circuit,140
204,3133110,Zwift Riders Scotland Sunday Club Ride,53,"['2', 'laps']",Watopia's Waistband,195
205,3056468,Rocacorba Collective Sunday Social Ride,,['60'],Park Perimeter Loop,738
206,3102168,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
207,3129643,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
208,3129006,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
209,3133101,Frenchy Fuzion Ride,,['90'],Tire-Bouchon,583
210,3133109,British Triathlon Series - Race,5,[''],5K Loop,
211,3133108,Flanders Endurance Race,105,"['3', 'laps']",Chasing the Sun,
212,3133105,WELCOME TO THE BRAUNSTEIN CYCLING CLUB DANISH GROUP RIDE,,['60'],Tempus Fugit,64
213,3133104,Hare & Hound Handicap Race,25,"['1', 'lap']",R.G.V.,129
214,3133103,ZTPL Cycling Club Climbing Challenge,17,"['1', 'lap']",Road to Sky,1047
215,3133102,ZLDR Easy Like Sunday Morning,,['30'],Whole Lotta Lava,251
216,3133100,KIRCHMAIR Sunday Breakfast Ride,,['120'],Douce France,494
217,3133099,ZHR Audax,200,[''],Greater London Loop,2353
218,3133098,DBR Social Ride,,['60'],Watopia's Waistband,156
219,3133096,Renegade Race,38,"['2', 'laps']",Lutscher,
220,3133095,"""¿Ratones O Leones?"" ZESP Resistencia",150,[''],Sand And Sequoias,
221,3133094,Spanish Sunday Paella Rice by PETA-Z,48,"['5', 'laps']",Park Perimeter Loop,
222,3133093,Sunday Foudre Coffee Ride Meetup,,['90'],Sleepless City,276
223,3133086,TEAM VEGAN Sunday Smoothie,55,"['2', 'laps']",Greatest London Flat,380
224,3133092,Renegade TT Race,20,"['1', 'lap']",Tempus Fugit,
225,3133091,"Hotchillee Sprinters, Puncheurs and Climbers Sunday Endurance Series",106,"['25', 'laps']",Volcano Circuit,523
226,3133090,The Gratitude ride p/b TBR,,['60'],R.G.V.,201
227,3133089,ZHR Masters Weekender,75,"['3', 'laps']",Wandering Flats,
228,3133088,Het is Koers in the Dutch mountains,46,"['1', 'lap']",Surrey Hills,1032
229,3133087,The Mountain Massif,60,[''],Four Horsemen,
230,3133085,Pride Ride,,['60'],Volcano Flat Reverse,186
231,3133084,Giant Camden Tron Hunters – get closer to the Tron,45,[''],Bologna Time Trial,
232,3133083,Team Italy Sunday ZRL Recon Race,29,"['3', 'laps']",Park Perimeter Loop,503
233,3133080,TEZH | Cuerpo Escombro,75,[''],Libby Hill After Party,160
234,3133081,LA CREPA by Scannellatori,29,"['3', 'laps']",Park Perimeter Loop,503
235,3133082,Cocorico Tutti Frutti - Group Ride Bikes France,53,"['1', 'lap']",2022 Bambino Fondo,199
236,3133079,3R Figure 8 Hilly Race - 1 Lap (29.2km/18.1m 234m),30,"['1', 'lap']",Watopia Figure 8,251
237,3133077,Vikings Valhalla Sunday Skaal,102,"['4', 'laps']",Greatest London Flat,702
238,3133078,VO2 Max 40/20,,['48'],Gotham Grind Reverse,459
239,2942846,VSP Greece Racing Series with Category Enforcement,34,"['1', 'lap']",Everything Bagel,722
240,3102249,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
241,3129717,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
242,3129039,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
243,3133076,ZU4R eSport Masochist Climber series 2022,18,[''],Road to Sky,1047
244,3133075,AHDR BBQ,,['60'],Douce France,255
245,3133074,No Pain No Gain Endurance Racing Series,88,[''],Downtown Dolphin,700
246,3133069,3R Endurance Steady Ride,100,[''],R.G.V.,
247,3133070,LEQP Provence Badge Hunter Series,28,"['1', 'lap']",Tour of Fire and Ice,
248,3133072,"Team KSTs ""Big Foot Hills Lover"" Race",70,"['1', 'lap']",Big Foot Hills,698
249,3133071,XRS Races: a Longer and Hard race,70,"['3', 'laps']",Casse-Pattes,463
250,3133067,3R Gotham Grind Flat Race - 2 Laps (18.5km/11.6mi 58m),18,"['2', 'laps']",Gotham Grind,251
251,3133066,Garmin - BMC - TACX - Turkey Social Group Ride,42,"['1', 'lap']",Out And Back Again,330
252,3099815,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
253,3102220,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
254,3118973,SISU WORLDS - TIME TRIAL,29,"['4', 'laps']",Two Bridges Loop,159
255,3123708,GALAXY GXY CC INFINITY ENDURANCE RIDE,,['80'],Douce France,
256,3129269,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
257,3128579,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
258,3133063,EVO CC Rosa Ladies Ride [1.8 - 2.5w/kg avg],,['60'],Tick Tock,122
259,3133065,EVO CC 160km Base Ride [3.0-3.2w/kg avg],160,[''],Watopia's Waistband,581
260,3133060,EVO CC Fat Burn/Steady State (2-5 -2.6wkg avg),49,"['2', 'laps']",R.G.V.,258
261,3133059,QueenBee Ladies Sunday Roast Social Ride,,['45'],London Classique,167
262,3133058,Team Valhalla [TV] - Race to Valhalla,41,"['1', 'lap']",Triple Loops,566
263,3133057,3R Volcano Flat Race - 3 Laps (36.6km/22.7mi 138m),37,"['3', 'laps']",Volcano Flat,148
264,3102196,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
265,3129792,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
266,3129127,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
267,3133056,KISS Racing 100 - Category Enforcement,104,"['3', 'laps']",Triple Flat Loops,234
268,3133055,EVO CC Sprint Race Series,12,"['6', 'laps']",The Bell Lap,92
269,3133054,VO2 Max -3 Minute,,['55'],Gotham Grind,535
270,3101995,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
271,3099863,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
272,3133053,3R Innsbruckring Flat Race - 2 Laps (17.6km/10.9m 154m),18,"['2', 'laps']",Innsbruckring,155
273,3102143,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
274,3129476,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
275,3128809,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
276,3133052,Cycle Nation Endurance Ride,100,[''],Tempus Fugit,
277,3133051,Team Italy Endurance Ride w/Saverio Addante,125,[''],2022 Bambino Fondo,483
278,3133050,Uphill Battle,,['56'],2019 UCI Worlds Harrogate Circuit,712
279,3133049,3R Watopia Flat Route Race - 3 Laps (30.3km/18.8mi 162m),31,"['3', 'laps']",Watopia Flat Route,180
280,3100283,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
281,3099823,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
282,3102237,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
283,3129259,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
284,3128610,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
285,3133048,Fearless Beginners Race - Women's Only - Under 7mi/11.5km,10,"['1', 'lap']",Park Perimeter Loop,168
286,3133047,The Grind Finale,,['49'],2019 UCI Worlds Harrogate Circuit,606
287,3099907,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
288,3133046,3R Innsbruckring Flat Race - 2 Laps (17.6km/10.9m 154m),18,"['2', 'laps']",Innsbruckring,155
289,3102200,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
290,3129604,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
291,3128954,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
292,3133044,Bonbon,,['40'],Harrogate Circuit Reverse,497
293,3133043,3R Volcano Circuit Flat Race - 4 Laps (18.9km/11.7mi 80m),21,"['4', 'laps']",Volcano Circuit CCW,
294,3136364,Challenged Athletes Foundation Ride,,['50'],Tick Tock,112
295,3102167,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
296,3129642,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
297,3129007,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
298,3133041,Spaded Sweetie,,['44'],Queen's Highway,420
299,3133040,Fearless Women's MTB Race,27,"['1', 'lap']",Serpentine 8,102
300,3133038,3R Racing,39,"['6', 'laps']",London Classique,192
301,3099845,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
302,3102267,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
303,3129207,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
304,3128558,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
305,3133037,Herd Climbers Gambit (with Category Enforcement),15,[''],Greatest London Loop Reverse,
306,3137829,Herd Autumn Racing Experience,8,"['1', 'lap']",Bologna Time Trial,236
307,3132282,TEAM VEGAN Tofu Tornado,29,"['1', 'lap']",The Magnificent 8,
308,3132281,The HERD Saturday Doughnut Ride,,['60'],Knickerbocker Reverse,709
309,3099814,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,
310,3132280,Paceline Work,,['38'],Queen's Highway,365
311,3132276,Ascenders Team [AsC 3.0] Ride,77,"['8', 'laps']",Park Perimeter Loop,
312,3132279,3R Racing,126,"['1', 'lap']",The Uber Pretzel,1191
313,3102219,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
314,3129428,Women Only | Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
315,3128757,Baseline Ride | ZA Road 2022,26,[''],Legends and Lava,182
316,3132278,BC Bike Race Gravel Explorer Endurance Workout,,['60'],Handful Of Gravel,
317,3132277,Herd of Mountain Goats Climbing Race 7,39,[''],Watopia Hilly Route,485
318,3132275,Weekend Long Run,16,[''],Innsbruckring,
319,3132274,3R Classique Flat Race,33,"['5', 'laps']",London Classique,167
320,3132273,Run In The Park,5,[''],London Classique Reverse,46
321,3101977,STAGE 2: GET ROLLING—Sand and Sequoias,23,"['1', 'lap']",Sand And Sequoias,172
322,3102195,Workout #1 | Aerobic Conditioning | ZA Road 2022,,['60'],London Classique,217
