,zid,event_name,distance,laps_time,zroute,elevation_gain
121,3093577,3R VOLT Interval Ride [~2.6-3.2 w/kg avg],37,[''],Douce France,234
122,3093576,3R SPARK Steady State Ride [~2.0-2.2 w/kg avg],,['60'],R.G.V.,201
123,3093575,3R Octane Interval Ride [~3.2-3.6 w/kg avg],37,"['1', 'lap']",NYC KOM After Party,
124,3093574,EVO CC Flux Ride [1.8 - 2.0w/kg avg],,['60'],Triple Flat Loops,91
125,3093573,EVO CC Core Interval Ride [2.5-3.2w/kg avg],44,"['8', 'laps']",Richmond Flat Roads,177
126,3093572,EVO CC Vortex Interval Ride [~3-3.8w/kg avg],46,"['10', 'laps']",Volcano Circuit CCW,229
127,3093571,Lactate Shuttle,,['57'],Greater London Flat,201
128,3054399,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
129,3093570,3R Racing,41,"['4', 'laps']",Watopia Flat Route,239
130,3072753,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
131,3093569,Cycle Nation Recovery Ride,,['60'],Richmond Flat Roads,175
132,3093568,Vikings Valhalla Monday Magic,,['45'],Suki's Playground,254
133,3093567,EVO CC Sprint Race Series,7,"['1', 'lap']",Twilight Harbor,33
134,3093566,Team Italy Morning Early Ride,,['60'],R.G.V.,201
135,3093565,INC Steady State,,['80'],Wandering Flats,309
136,3093564,Ham Sandwich,,['52'],Astoria Line 8,580
137,3054398,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
138,3054506,Womens Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
139,3093563,3R Racing,30,"['1', 'lap']",Watopia Figure 8,251
140,3072752,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
141,3083537,ZRS - Whole Lotta Lava 5k,5,[''],Whole Lotta Lava,30
142,3093562,Escalation,,['55'],Gotham Grind Reverse,525
143,3054397,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
144,3093561,Masters M70+Increasing Sprints,,['29'],Watopia Flat Route,120
145,3093560,3R Racing,9,"['1', 'lap']",Innsbruckring,78
146,3072751,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
147,3093559,ZHQ Beta Experience Mode Mondays,23,"['1', 'lap']",Sand And Sequoias,172
148,3093558,Arise,,['52'],Astoria Line 8,580
149,3093557,3R Racing,20,"['2', 'laps']",Watopia Flat Route,120
150,3072750,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
151,3093554,OTR Tempo Group Ride,38,"['12', 'laps']",Duchy Estate,
152,3093553,Anaerobic Capacity into VO2,,['52'],Park Perimeter Loop,638
153,3093552,3R La Guardia Loop - 8 Laps,25,"['8', 'laps']",Laguardia Loop Rev,216
154,3054384,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
155,3072749,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
156,3083536,ZRS - Whole Lotta Lava 5k,5,[''],Whole Lotta Lava,30
157,3092880,Amalgam,,['51'],Gotham Grind Reverse,487
158,3092879,The Bump Sprint Race,19,"['1', 'lap']",Tick Tock,59
159,3092878,3R Achterbahn Climbing Race (47.4km/29.5mi 988m),47,"['1', 'lap']",Achterbahn,987
160,3072748,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
161,3092877,EZR Weekend Wind Down,,['60'],R.G.V.,201
162,3092875,VO2 Max 40/20,,['48'],Astoria Line 8,548
163,3054292,Zwift Classics - London International,28,[''],London 8,312
164,3092874,3R Watopia Flat Route Reverse Race - 2 Laps (20.5km/12.7mi 108m),20,"['2', 'laps']",Watopia Flat Route,120
165,3072746,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
166,3092873,ZLDR Recovery with a Twist,,['45'],Park To Peak,
167,3092872,TTR Recovery Monday Ride 2.3-2.5,,['60'],R.G.V.,201
168,3092871,Ascenders Team Asia Morning Group Run,,['30'],Italian Villas Circuit,
169,3092870,Dutch Diesel Cycling Starter Ride,,['90'],Greater London Flat,
170,3092869,VO2 Max -3 Minute,,['55'],Gotham Grind,535
171,3054326,Womens Zwift Classics - London International,28,[''],London 8,312
172,3054291,Zwift Classics - London International,28,[''],London 8,312
173,3092868,3R Gotham Grind Flat Race - 3 Laps (27.8km/17.4mi 87m),28,"['3', 'laps']",Gotham Grind,377
174,3072745,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
175,3083535,ZRS - Whole Lotta Lava 5k,5,[''],Whole Lotta Lava,30
176,3092867,Herd of Mountain Goats Climbing Race 2,32,[''],Surrey Hills,831
177,3092866,JETT Monday Morning Ride (2.5~3.0w/kg),36,"['4', 'laps']",Innsbruckring,308
178,3092865,The Better Way Rides p/b Velocio,28,"['1', 'lap']",Watopia's Waistband,101
179,3092863,USMES Sunday Climbers 🍍,40,"['4', 'laps']",Kappa Quest,555
180,3092864,WMZ Bonjour Recovery Ride p/b Champion System,,['60'],Neon Flats,209
181,3092862,Pride Ride,,['60'],R.G.V.,201
182,3092861,Uphill Battle,,['56'],Park Perimeter Loop,686
183,3092860,3R Greater London Flat Race - 3 Laps (40.2km/25mi 135m),41,"['3', 'laps']",Greater London Flat,201
184,3054290,Zwift Classics - London International,28,[''],London 8,312
185,3072744,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
186,3092859,TEAM Zwift Tri Oz - Monday Recovery Ride,37,"['3', 'laps']",Volcano Flat,148
187,3092858,The HERD Sunday Sip and Spin,,['60'],Sand And Sequoias,338
188,3092857,AHDR Bacon Rolls,,['60'],Triple Flat Loops,91
189,3092855,Sunday Funday p/b TBR,,['60'],R.G.V.,201
190,3092854,3R LaGuardia Super Sprint Race - 1 Lap (3.7km/2.6mi 27m),4,"['1', 'lap']",Laguardia Loop,60
191,3092853,EVO CC Sprint Race Series,14,"['2', 'laps']",Twilight Harbor,65
192,3092852,Triban (Weekenderender),,['60'],Park Perimeter Loop,738
193,3092851,The Grind Finale,,['49'],Gotham Grind,484
194,3092850,TFC Group Group Ride. Sub 2.5 / Sub 2,36,"['1', 'lap']",Triple Flat Loops,
195,3092849,Breakfast with The Unicorn p/b AHDR,100,[''],R.G.V.,
196,3072743,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
197,3092846,Bikealicious Climbalicious,,['120'],2022 Cycling Esports World Championships Route,1474
198,3092848,Renegade Race,28,"['1', 'lap']",Climber's Gambit,333
199,3092847,Herd Climbers Gambit (with Category Enforcement),16,"['1', 'lap']",Countryside Tour,183
