,zid,event_name,distance,laps_time,zroute,elevation_gain
0,3072765,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
1,3101808,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
2,3100377,Women Only | Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
3,3100460,Orientation Ride | ZA Road 2022,,['26'],Seaside Sprint,141
4,3093682,EVO CC Race Series,23,"['1', 'lap']",Castle to Castle,140
5,3093681,Team DRAFT Monday Race,43,"['2', 'laps']",Sand And Sequoias,338
6,3093680,Group Run 5k,5,[''],Jon's Route,
7,3093679,3R Racing,35,"['5', 'laps']",London Classique Reverse,180
8,3054405,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
9,3072764,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
10,3093677,Lactate Shuttle,,['57'],London Classique,203
11,3093676,MAAP In The Field: USA Group Ride,34,"['3', 'laps']",Astoria Line 8,559
12,3093675,BC Bike Race Recovery Ride,,['45'],Handful Of Gravel,
13,3093674,Monday Run Club,11,[''],Chili Pepper Rev,
14,3093673,3R Racing,16,"['1', 'lap']",Richmond UCI Worlds,159
15,3087213,Canyon Ranch Group Ride p/b Pinarello,,['60'],R.G.V.,201
16,3093671,Ham Sandwich,,['52'],Greater London Flat,177
17,3093670,EZR Easy Riding with EZ,,['60'],The Magnificent 8,269
18,3093669,Ascenders Team Monday Slo Roll,,['60'],Beach Island Loop,83
19,3093668,Ascenders Team Recovery Monday,,['60'],Tempus Fugit,64
20,3072763,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
21,3093667,Epictour - Structured Workout,,['45'],Tempus Fugit,51
22,3093666,3R Endurance Ride,,['90'],Electric Loop,299
23,3093665,USMES Back to Work Ride,,['60'],Sand And Sequoias,338
24,3093664,Team Sportslab UK Hard Riders,42,"['1', 'lap']",Out And Back Again,330
25,3093663,3R Racing,23,"['1', 'lap']",Volcano Climb,202
26,3093609,EVO CC Sweet Sirocco Interval Ride [~3.0-3.5w/kg avg]d,,['70'],Twilight Harbor,240
27,3093660,Crit City Race,20,"['10', 'laps']",Downtown Dolphin,155
28,3093659,Velocity - Dig the Bike Fantastic,,['60'],Wandering Flats,205
29,3093658,ZZRC Monday Latte 2-2.5 Social Ride,,['75'],R.G.V.,260
30,3083480,ZIRT Merdeka Race,42,"['1', 'lap']",Out And Back Again,330
31,3093657,Magnum mOnDayZ RACE presented by Team ODZ,23,"['1', 'lap']",La Reine,1198
32,3054404,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
33,3072762,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
34,3093654,Epictour - Structured Workout,,['45'],Tempus Fugit,51
35,3093653,Monday News Time Ride,29,"['4', 'laps']",Two Bridges Loop,159
36,3093652,TTR Monday Sóng! 爽騎團,48,"['5', 'laps']",Sleepless City,202
37,3093651,JETT Base Ride (2.7~3.8w/kg),72,"['4', 'laps']",Tempus Fugit,
38,3093650,TTR mini chase,8,"['4', 'laps']",Downtown Dolphin,
39,3093649,Fearless Ladder for a Faster 5k,7,[''],Champs-Élysées,78
40,3093648,3R Racing,27,"['3', 'laps']",Innsbruckring,232
41,3093647,DIRT Gravel Rash Ride,,['45'],Handful Of Gravel,
42,3093646,Escalation,,['55'],Gotham Grind Reverse,525
43,3093645,SAZ speed race,19,"['1', 'lap']",Ocean Lava Cliffside Loop,
44,3093644,Team Electric Spirit Co. Preprandial Crits,8,"['1', 'lap']",Railways and Rooftops,70
45,3054514,Womens Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
46,3054403,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
47,3093643,Monday DIRT Endurance Ride,,['90'],Neon Flats,310
48,3093642,CHINA ZCRC Spicy 100km,101,"['4', 'laps']",Wandering Flats,
49,3072761,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
50,3093641,Monday's Mountain Massif TT,12,[''],Watopia Mountain 8,
51,3093640,Happy 100k p/b TeamODZ,100,[''],Tempus Fugit,149
52,3093639,MHG Run Club,5,[''],R.G.V.,1
53,3093638,Slowtwitch Indoors: 100/100 Challenge Group Run,,['30'],Farmland Loop,150
54,3093637,Epictour - Structured Workout,,['45'],Tempus Fugit,51
55,3093636,British Triathlon Series - Group Ride,,['60'],Greatest London Loop,
56,3093635,Monday Run Club,11,[''],Chili Pepper Rev,
57,3093634,ZWC Hill Climb Battle,12,[''],Watopia Mountain 8,571
58,3093633,DIRT Run Club,5,"['1', 'lap']",5K Loop,
59,3093632,European Lunch Ride,32,"['2', 'laps']",Richmond UCI Reverse,311
60,3093631,ZLDR AYOP Hour Run,,['60'],Beach Island Loop,83
61,3093630,Arise,,['52'],London Classique Reverse,193
62,3093629,3R Racing,37,"['3', 'laps']",Volcano Flat,148
63,3093628,DIRT Monday Morning Blues Ride,,['60'],Tick Tock,122
64,3054402,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
65,3072760,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
66,3093627,Fearless Recovery Ride,,['60'],Neon Flats,209
67,3093626,EVR Asia Race,37,"['3', 'laps']",Sprinter's Playground,196
68,3093625,Epictour - Structured Workout,,['45'],Tempus Fugit,51
69,3093624,CRYO-GEN Recovery Monday Group Ride,,['60'],Beach Island Loop,
70,3093623,The HERD M2C2,,['45'],Tick Tock,99
71,3093621,KISS at Base Training Ride,63,"['7', 'laps']",Innsbruckring,539
72,3093622,GRIT MTB ride,33,"['1', 'lap']",Temples and Towers,314
73,3093620,GRIT Group Run,5,"['1', 'lap']",Run Path Reverse,
74,3093619,EVO CC Race Series,29,"['4', 'laps']",Handful Of Gravel,
75,3093618,EZR EZ Does It,,['60'],Triple Flat Loops,91
76,3093617,DIRTy Dozen Sprint League,19,[''],Richmond Flat Roads,79
77,3093616,CRYO-GEN Monday Run,5,[''],-,
78,3093615,3R Racing,41,"['4', 'laps']",Watopia Flat Route,239
79,3093614,DIRT Monday Endurance Ride,,['90'],Tempus Fugit,97
80,3072759,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
81,3093613,MET-5 Race,40,[''],Watopia's Waistband,135
82,3093612,TeamZF Monday Motivation 🚴‍♂️💪🏻,,['60'],London Classique,217
83,3093611,Beanie's Brunch Bunch,30,"['1', 'lap']",Watopia Figure 8,251
84,3093610,Monday Run Club,11,[''],Chili Pepper Rev,
85,3093608,INC RELENTLESS Intervals,,['75'],Tempus Fugit,83
86,3093607,PACK SUB2 Weekend Recovery,,['60'],Triple Flat Loops,91
87,3093606,Anaerobic Capacity into VO2,,['52'],Greatest London Flat,253
88,3075666,EL TOUR DE HISP - STAGE 1,19,"['1', 'lap']",Tick Tock,59
89,3093605,TBR Knights of Suburbia,,['45'],Tick Tock,99
90,3054401,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
91,3093604,Team Zwift Tri Oz - Boomtown,,['50'],Richmond Flat Roads,140
92,3093603,3R Racing,23,"['1', 'lap']",Sand And Sequoias,172
93,3072758,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
94,3093601,ZLDR Easy 30,,['30'],The Bell Lap,168
95,3093600,"ZESP ""Topillos"" Super Sprint",7,"['1', 'lap']",The 6 Train Rev,
96,3094139,The Stampede (iTT) by Herd Racing League,30,[''],Road to Sky,1707
97,3093598,Fearless Ladder for a Faster 5k,7,[''],Champs-Élysées,78
98,3093597,Flanders Endurance Series,,['90'],Wandering Flats,345
99,3093602,PACK Run Monday Shake Out,5,[''],Sprinter's Playground,20
100,3093596,Amalgam,,['51'],Greatest London Flat,251
101,3093595,3R Racing,31,"['3', 'laps']",Watopia Flat Route,180
102,3072756,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
103,3093594,Kiwi Crew Riot Race,29,"['3', 'laps']",Sleepless City,121
104,3093591,Bikealicious Rubberband Joy Ride,,['90'],Knickerbocker Reverse,1045
105,3093590,Monday Run Club,11,[''],Chili Pepper Rev,
106,3093589,INC Relentless Steady State Spin,,['60'],Richmond Flat Roads,175
107,3093588,ZSUN RNR - 2.2-3.2 w/kg,,['60'],Flatland Loop,306
108,3093587,Orange Unicorn,,['51'],London Classique,190
109,3093586,ZZRC Breakfast/Supper Club - Ride with Mates,32,"['8', 'laps']",Neokyo Crit Course,160
110,3054400,Zwift Classics - Rund um Innsbruck,23,[''],Innsbruckring,182
111,3093585,3R Racing,26,"['5', 'laps']",Volcano Circuit CCW,129
112,3072755,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
113,3083538,ZRS - Whole Lotta Lava 5k,5,[''],Whole Lotta Lava,30
114,3093583,INC HIIT - 30min High Intensity Interval Training,30,"['15', 'laps']",The Bell Lap,229
115,3093582,Zwift Time Trial Tuesday: Tempus Fugit,18,[''],Tempus Fugit,27
116,3093581,Macro to Micro,,['59'],Greatest London Flat,281
117,3093580,GXY Solar Surge (1.6 WKG -2.5 WKG),34,"['7', 'laps']",Volcano Circuit CCW,169
118,3093579,3R Racing,22,"['3', 'laps']",Seaside Sprint,168
119,3072754,Off the MAAP - Stage 4,50,"['7', 'laps']",Champs-Élysées,160
120,3093578,ZLDR AYOP Run Hour,,['60'],11.1 Ocean Blvd,
