,zid,event_name,distance,laps_time,zroute,elevation_gain
0,3253709,Teniel Campbell: All-Rounder | Jayco - AlUla Hashes,,['60'],Knickerbocker Reverse,709
1,3288877,ZTO Power Push Challenge,20,[''],Tempus Fugit,32
2,3379742,Bicycling Australia & The Classics Weekly Training Ride,,['60'],The Magnificent 8,269
3,3379740,ZLDR Run Like No One is Watching,,['45'],Downtown Dolphin,259
4,3379739,EVR Definitely Not the WTNC,49,"['2', 'laps']",R.G.V.,
5,3379738,Team Italy Bologna iTT Race,8,"['1', 'lap']",Bologna Time Trial,236
6,3379737,PACK Run: Next Step Progressive,8,[''],5K Loop,
7,3379736,MINI CRIT by WKG,9,"['1', 'lap']",Innsbruckring,78
8,3379735,TEAM ITALY HIGH INTENSITY AND STRENGTH INCREASE WORKOUT SERIES by Ferroni,,['60'],Tempus Fugit,64
9,3379733,3R Launchpad Ride [~1.0-1.5w/kg avg],,['30'],Tempus Fugit,32
10,3322384,FRR Tour Watopia - Stage 4,40,[''],Watopia Figure 8,
11,3349251,SISU iTT - Week 1,21,"['3', 'laps']",Twilight Harbor,98
12,3379732,British Cycling Crit City Series,24,"['12', 'laps']",The Bell Lap,183
13,3379731,British Cycling Women's Crit City Series,24,"['12', 'laps']",The Bell Lap,183
14,3379730,Workout Wednesday Run,11,[''],Chili Pepper,
15,3379729,INFLITE TYPE ONE Weekly Wednesday Time Trial,16,[''],Tempus Fugit,26
16,3379728,Innovation Multisport – Midweek Recovery Double Draft Event,,['60'],Greatest London Flat,
17,3379727,CMA Ladies Only Social Ride,,['45'],Wandering Flats,162
18,3379726,SNOW CC Racing League,42,"['1', 'lap']",Out And Back Again,330
19,3379725,QueenBee Thursday Social,,['45'],Tempus Fugit,51
20,3252997,Zwift TT Club Racing Series - Week Five,24,"['1', 'lap']",Casse-Pattes,154
21,3379724,Lactate Shuttle,,['57'],Douce France,243
22,3379720,Team Velos Social Sprint Series,,['60'],Innsbruckring,377
23,3228366,Bicycle Network 4 X 10 MIN TEMPO ALTERNATING,,['60'],Neokyo Crit Course,225
24,3363007,STAGE 1: FLAT IS FAST—Tick Tock,19,"['1', 'lap']",Tick Tock,59
25,3379719,OTR Snap Crackle Pop King/Queen of Leg Snapper,32,[''],Innsbruckring,
26,3379718,ART Jersey Unlock Double Draft Race,28,[''],R.G.V.,
27,3379717,Corre el cHISPazo,5,[''],Handful of Gravel Run,
28,3379716,XRS Races: Wednesday iTT series,9,"['1', 'lap']",Innsbruckring,
29,3379715,REVO Social SUB2,,['45'],Tempus Fugit,
30,3379714,TRI247 Workout Series: Micro Burst Intervals,,['60'],Sand And Sequoias,
31,3379712,Endure IQ Training Squad Session,,['60'],Watopia Figure 8,
32,3379710,VAN RYSEL GROUP RIDE,39,"['3', 'laps']",Flatland Loop,
33,3379708,Newbury Velo Midweek TT,18,[''],Tempus Fugit,
34,3379707,Rowe & King - Workout Wednesday,,['42'],Innsbruckring,
